Data,Crema,Exercici,Cafe,Son,Verdures,Dents,Dutxa,Diners,Motiu,Udemy,Articles,Coding,Projects,Planning,Aleman,Interaccions,Social
01/06/2022,Si,64.0,2.0,9.0,4.0,Si,No,0.0,' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/06/2022,Si,40.0,2.0,9.0,4.0,Si,No,0.0,' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/06/2022,Si,26.0,1.0,8.0,0.0,Si,No,0.0,' ',0.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0
04/06/2022,Si,136.0,3.0,10.0,0.0,Si,Si,0.0,' ',0.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0
05/06/2022,Si,26.0,1.0,12.0,0.0,Si,No,30.0,Menjar,0.0,16.0,153.0,1.0,38.0,0.0,0.0,0.0
06/06/2022,Si,95.0,1.0,13.0,6.0,Si,Només Cos,17.0,Menjar,0.0,0.0,41.0,0.0,0.0,43.0,1.0,2.0
07/06/2022,Si,45.0,3.0,9.0,4.0,Si,No,0.0,' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/06/2022,Si,84.0,3.0,9.0,4.0,Si,No,0.0,' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/06/2022,Si,56.0,2.0,8.0,0.0,Si,Només Cos,0.0,' ',0.0,0.0,0.0,1.0,0.0,90.0,0.0,0.0
10/06/2022,No,164.0,4.0,10.0,0.0,Si,Si,0.0,' ',0.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0
11/06/2022,Si,82.0,3.0,7.0,0.0,Si,No,50.0,Menjar,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
